id,versionId,eventDate,lastUpdated,url,artist.mbid,artist.name,artist.sortName,artist.disambiguation,artist.url,venue.id,venue.name,venue.city.id,venue.city.name,venue.city.state,venue.city.stateCode,venue.city.coords.lat,venue.city.coords.long,venue.city.country.code,venue.city.country.name,venue.url,tour.name,sets.set,info,song,4 no Uta,Akatsuki,Akumu no Rondo,Amore -Sousei-,Arkadia,Awadama Fever,BABYMETAL DEATH,Believing,Brand New Day,Breaking the Law,BxMxC,Catch Me If You Can,Chokotto Love,DA DA DANCE,Distortion,Divine Attack - Shingeki -,Doki Doki ☆ Morning,Doki Doki ☆ Morning / Iine!,Elevator Girl,Episode II Intro Video,FUTURE METAL,From Dusk Till Dawn,GJ!,Gimme Chocolate!!,Headbangeeeeerrrrr!!!!!,IN THE NAME OF,Iine!,"Ijime, Dame, Zettai",Intro Video,KARATE,Kagerou,Kimi to Anime ga Mitai~Answer for Animation With You,Kon! Kon!,LOVE Machine,Light and Darkness,MAYA,META! Meta Taro,METAL KINGDOM,METALI!!,METALIZM,Megitsune,Mirror Mirror,Mischiefs of Metal Gods,Monochrome,"NO RAIN, NO RAINBOW",Night Night Burn!,Oh! MAJINAI,Onedari Daisakusen,Over The Future,PA PA YA!!,Painkiller,Painkiller / Breaking the Law,RATATATA,Revolutionary Étude,Road of Resistance,Shanti Shanti Shanti,Shine,Sis. Anger,Song 3,Starlight,Syncopation,THE LEGEND,THE ONE,Tales of The Destinies,Tamashii no Refrain,The Hill of Wisteria,Time Wave,Uki Uki ★ Midnight,Video,White Love,YAVA!,festival
3351a885,g634d4643,13-05-2025,2025-05-13T20:46:14.187+0000,https://www.setlist.fm/setlist/babymetal/2025/afas-live-amsterdam-netherlands-3351a885.html,27e2997f-f7a1-4353-bcc4-57b9274fa9a4,BABYMETAL,BABYMETAL,,https://www.setlist.fm/setlists/babymetal-5bd19f80.html,23d574f7,AFAS Live,2759794,Amsterdam,North Holland,07,52.373,4.9,NL,Netherlands,https://www.setlist.fm/venue/afas-live-amsterdam-netherlands-23d574f7.html,BABYMETAL UK & EUROPE ARENA TOUR 2025,"[{'song': [{'name': 'BABYMETAL DEATH'}, {'name': 'Megitsune'}, {'name': 'PA PA YA!!'}, {'name': 'BxMxC'}, {'name': 'METALI!!', 'info': 'preceded by KAMI Band solos'}, {'name': 'Kon! Kon!'}, {'name': 'Song 3'}, {'name': 'Headbangeeeeerrrrr!!!!!'}, {'name': 'RATATATA', 'cover': {'mbid': '23e4053b-14d6-49d5-8bcd-85d37df70cc2', 'name': 'BABYMETAL & Electric Callboy', 'sortName': 'BABYMETAL & Electric Callboy', 'disambiguation': '', 'url': 'https://www.setlist.fm/setlists/babymetal-and-electric-callboy-23e5e087.html'}}, {'name': 'Gimme Chocolate!!'}]}, {'encore': 1, 'song': [{'name': 'from me to u'}, {'name': 'KARATE'}, {'name': 'Road of Resistance'}]}]",,"['BABYMETAL DEATH', 'Megitsune', 'PA PA YA!!', 'BxMxC', 'METALI!!', 'Kon! Kon!', 'Song 3', 'Headbangeeeeerrrrr!!!!!', 'RATATATA', 'Gimme Chocolate!!']",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False
2b51a886,g6b4d62ce,12-05-2025,2025-05-12T20:36:36.937+0000,https://www.setlist.fm/setlist/babymetal/2025/barclays-arena-hamburg-germany-2b51a886.html,27e2997f-f7a1-4353-bcc4-57b9274fa9a4,BABYMETAL,BABYMETAL,,https://www.setlist.fm/setlists/babymetal-5bd19f80.html,2bd02c8e,Barclays Arena,2911298,Hamburg,Hamburg,04,53.55,10.0,DE,Germany,https://www.setlist.fm/venue/barclays-arena-hamburg-germany-2bd02c8e.html,BABYMETAL UK & EUROPE ARENA TOUR 2025,"[{'song': [{'name': 'BABYMETAL DEATH'}, {'name': 'Megitsune'}, {'name': 'PA PA YA!!'}, {'name': 'BxMxC'}, {'name': 'METALI!!', 'info': 'preceded by KAMI Band solos'}, {'name': 'Kon! Kon!'}, {'name': 'Song 3'}, {'name': 'Headbangeeeeerrrrr!!!!!'}, {'name': 'RATATATA', 'cover': {'mbid': '23e4053b-14d6-49d5-8bcd-85d37df70cc2', 'name': 'BABYMETAL & Electric Callboy', 'sortName': 'BABYMETAL & Electric Callboy', 'disambiguation': '', 'url': 'https://www.setlist.fm/setlists/babymetal-and-electric-callboy-23e5e087.html'}}, {'name': 'Gimme Chocolate!!'}]}, {'encore': 1, 'song': [{'name': 'from me to u'}, {'name': 'KARATE'}, {'name': 'Road of Resistance'}]}]",,"['BABYMETAL DEATH', 'Megitsune', 'PA PA YA!!', 'BxMxC', 'METALI!!', 'Kon! Kon!', 'Song 3', 'Headbangeeeeerrrrr!!!!!', 'RATATATA', 'Gimme Chocolate!!']",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False
2351a887,g7b4d6254,10-05-2025,2025-05-12T20:03:14.757+0000,https://www.setlist.fm/setlist/babymetal/2025/vorst-nationaal-forest-national-vorst-forest-belgium-2351a887.html,27e2997f-f7a1-4353-bcc4-57b9274fa9a4,BABYMETAL,BABYMETAL,,https://www.setlist.fm/setlists/babymetal-5bd19f80.html,13d22139,Vorst Nationaal / Forest National,2798139,Vorst / Forest,Brussels-Capital Region,BE-BRU,50.8,4.317,BE,Belgium,https://www.setlist.fm/venue/vorst-nationaal-forest-national-vorst-forest-belgium-13d22139.html,BABYMETAL UK & EUROPE ARENA TOUR 2025,"[{'song': [{'name': 'BABYMETAL DEATH'}, {'name': 'Megitsune'}, {'name': 'PA PA YA!!'}, {'name': 'BxMxC'}, {'name': 'METALI!!', 'info': 'preceded by KAMI Band solos'}, {'name': 'Kon! Kon!', 'info': 'world premiere'}, {'name': 'Song 3', 'info': 'world premiere'}, {'name': 'Headbangeeeeerrrrr!!!!!'}, {'name': 'RATATATA', 'cover': {'mbid': '23e4053b-14d6-49d5-8bcd-85d37df70cc2', 'name': 'BABYMETAL & Electric Callboy', 'sortName': 'BABYMETAL & Electric Callboy', 'disambiguation': '', 'url': 'https://www.setlist.fm/setlists/babymetal-and-electric-callboy-23e5e087.html'}}, {'name': 'Gimme Chocolate!!'}]}, {'encore': 1, 'song': [{'name': 'from me to u', 'info': 'live debut'}, {'name': 'KARATE'}, {'name': 'Road of Resistance'}]}]",,"['BABYMETAL DEATH', 'Megitsune', 'PA PA YA!!', 'BxMxC', 'METALI!!', 'Kon! Kon!', 'Song 3', 'Headbangeeeeerrrrr!!!!!', 'RATATATA', 'Gimme Chocolate!!']",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False
73500e85,g5b453bf0,08-03-2025,2025-03-08T08:30:47.113+0000,https://www.setlist.fm/setlist/babymetal/2025/centennial-park-sydney-australia-73500e85.html,27e2997f-f7a1-4353-bcc4-57b9274fa9a4,BABYMETAL,BABYMETAL,,https://www.setlist.fm/setlists/babymetal-5bd19f80.html,13d63d41,Centennial Park,2147714,Sydney,New South Wales,NSW,-33.8678499639382,151.207323074341,AU,Australia,https://www.setlist.fm/venue/centennial-park-sydney-australia-13d63d41.html,BABYMETAL WORLD TOUR 2025,"[{'song': [{'name': 'BABYMETAL DEATH'}, {'name': 'Distortion'}, {'name': 'PA PA YA!!'}, {'name': 'BxMxC'}, {'name': 'METALI!!', 'info': 'preceded by KAMI Band solos'}, {'name': 'KARATE'}, {'name': 'Megitsune'}, {'name': 'RATATATA', 'cover': {'mbid': '23e4053b-14d6-49d5-8bcd-85d37df70cc2', 'name': 'BABYMETAL & Electric Callboy', 'sortName': 'BABYMETAL & Electric Callboy', 'disambiguation': '', 'url': 'https://www.setlist.fm/setlists/babymetal-and-electric-callboy-23e5e087.html'}}, {'name': 'Gimme Chocolate!!'}, {'name': 'Road of Resistance'}]}]",,"['BABYMETAL DEATH', 'Distortion', 'PA PA YA!!', 'BxMxC', 'METALI!!', 'KARATE', 'Megitsune', 'RATATATA', 'Gimme Chocolate!!', 'Road of Resistance']",0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
1b5d795c,g3345f03d,06-03-2025,2025-03-06T11:40:49.484+0000,https://www.setlist.fm/setlist/babymetal/2025/enmore-theatre-sydney-australia-1b5d795c.html,27e2997f-f7a1-4353-bcc4-57b9274fa9a4,BABYMETAL,BABYMETAL,,https://www.setlist.fm/setlists/babymetal-5bd19f80.html,53d6370d,Enmore Theatre,2147714,Sydney,New South Wales,NSW,-33.8678499639382,151.207323074341,AU,Australia,https://www.setlist.fm/venue/enmore-theatre-sydney-australia-53d6370d.html,BABYMETAL WORLD TOUR 2025,"[{'song': [{'name': 'BABYMETAL DEATH'}, {'name': 'Distortion'}, {'name': 'DA DA DANCE'}, {'name': 'BxMxC'}, {'name': 'METALI!!', 'info': 'preceded by KAMI Band solos'}, {'name': 'Megitsune'}, {'name': 'Monochrome'}, {'name': 'RATATATA', 'cover': {'mbid': '23e4053b-14d6-49d5-8bcd-85d37df70cc2', 'name': 'BABYMETAL & Electric Callboy', 'sortName': 'BABYMETAL & Electric Callboy', 'disambiguation': '', 'url': 'https://www.setlist.fm/setlists/babymetal-and-electric-callboy-23e5e087.html'}}, {'name': 'PA PA YA!!'}, {'name': 'Gimme Chocolate!!'}]}, {'encore': 1, 'song': [{'name': 'Headbangeeeeerrrrr!!!!!'}, {'name': 'Road of Resistance'}]}]",,"['BABYMETAL DEATH', 'Distortion', 'DA DA DANCE', 'BxMxC', 'METALI!!', 'Megitsune', 'Monochrome', 'RATATATA', 'PA PA YA!!', 'Gimme Chocolate!!']",0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
135d795d,g2345f0ef,04-03-2025,2025-03-06T12:13:12.957+0000,https://www.setlist.fm/setlist/babymetal/2025/fortitude-music-hall-brisbane-australia-135d795d.html,27e2997f-f7a1-4353-bcc4-57b9274fa9a4,BABYMETAL,BABYMETAL,,https://www.setlist.fm/setlists/babymetal-5bd19f80.html,4bd39fae,Fortitude Music Hall,2174003,Brisbane,Queensland,QLD,-27.4679357321901,153.028092384338,AU,Australia,https://www.setlist.fm/venue/fortitude-music-hall-brisbane-australia-4bd39fae.html,BABYMETAL WORLD TOUR 2025,"[{'song': [{'name': 'BABYMETAL DEATH'}, {'name': 'Distortion'}, {'name': 'DA DA DANCE'}, {'name': 'BxMxC'}, {'name': 'METALI!!', 'info': 'preceded by KAMI Band solos'}, {'name': 'Megitsune'}, {'name': 'Monochrome'}, {'name': 'RATATATA', 'cover': {'mbid': '23e4053b-14d6-49d5-8bcd-85d37df70cc2', 'name': 'BABYMETAL & Electric Callboy', 'sortName': 'BABYMETAL & Electric Callboy', 'disambiguation': '', 'url': 'https://www.setlist.fm/setlists/babymetal-and-electric-callboy-23e5e087.html'}}, {'name': 'PA PA YA!!'}, {'name': 'Gimme Chocolate!!'}]}, {'encore': 1, 'song': [{'name': 'Headbangeeeeerrrrr!!!!!'}, {'name': 'Road of Resistance'}]}]",,"['BABYMETAL DEATH', 'Distortion', 'DA DA DANCE', 'BxMxC', 'METALI!!', 'Megitsune', 'Monochrome', 'RATATATA', 'PA PA YA!!', 'Gimme Chocolate!!']",0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
63500e83,g1b45a5f8,02-03-2025,2025-03-04T11:48:09.242+0000,https://www.setlist.fm/setlist/babymetal/2025/brisbane-showgrounds-brisbane-australia-63500e83.html,27e2997f-f7a1-4353-bcc4-57b9274fa9a4,BABYMETAL,BABYMETAL,,https://www.setlist.fm/setlists/babymetal-5bd19f80.html,33d31491,Brisbane Showgrounds,2174003,Brisbane,Queensland,QLD,-27.4679357321901,153.028092384338,AU,Australia,https://www.setlist.fm/venue/brisbane-showgrounds-brisbane-australia-33d31491.html,BABYMETAL WORLD TOUR 2025,"[{'song': [{'name': 'BABYMETAL DEATH'}, {'name': 'Distortion'}, {'name': 'PA PA YA!!'}, {'name': 'BxMxC'}, {'name': 'METALI!!', 'info': 'preceded by KAMI Band solos'}, {'name': 'Megitsune'}, {'name': 'KARATE'}, {'name': 'RATATATA', 'cover': {'mbid': '23e4053b-14d6-49d5-8bcd-85d37df70cc2', 'name': 'BABYMETAL & Electric Callboy', 'sortName': 'BABYMETAL & Electric Callboy', 'disambiguation': '', 'url': 'https://www.setlist.fm/setlists/babymetal-and-electric-callboy-23e5e087.html'}}, {'name': 'Gimme Chocolate!!'}, {'name': 'Road of Resistance'}]}]",,"['BABYMETAL DEATH', 'Distortion', 'PA PA YA!!', 'BxMxC', 'METALI!!', 'Megitsune', 'KARATE', 'RATATATA', 'Gimme Chocolate!!', 'Road of Resistance']",0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
6b500e96,g345a50b,28-02-2025,2025-03-04T11:45:45.667+0000,https://www.setlist.fm/setlist/babymetal/2025/flemington-racecourse-melbourne-australia-6b500e96.html,27e2997f-f7a1-4353-bcc4-57b9274fa9a4,BABYMETAL,BABYMETAL,,https://www.setlist.fm/setlists/babymetal-5bd19f80.html,5bd62350,Flemington Racecourse,2158177,Melbourne,Victoria,VIC,-37.8139965641595,144.963322877884,AU,Australia,https://www.setlist.fm/venue/flemington-racecourse-melbourne-australia-5bd62350.html,BABYMETAL WORLD TOUR 2025,"[{'song': [{'name': 'BABYMETAL DEATH'}, {'name': 'Distortion'}, {'name': 'Megitsune'}, {'name': 'BxMxC'}, {'name': 'METALI!!', 'info': 'preceded by KAMI Band solos'}, {'name': 'KARATE'}, {'name': 'RATATATA', 'cover': {'mbid': '23e4053b-14d6-49d5-8bcd-85d37df70cc2', 'name': 'BABYMETAL & Electric Callboy', 'sortName': 'BABYMETAL & Electric Callboy', 'disambiguation': '', 'url': 'https://www.setlist.fm/setlists/babymetal-and-electric-callboy-23e5e087.html'}}, {'name': 'PA PA YA!!'}, {'name': 'Gimme Chocolate!!'}, {'name': 'Road of Resistance'}]}]",,"['BABYMETAL DEATH', 'Distortion', 'Megitsune', 'BxMxC', 'METALI!!', 'KARATE', 'RATATATA', 'PA PA YA!!', 'Gimme Chocolate!!', 'Road of Resistance']",0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
6b5676ba,g435ee79f,05-12-2024,2024-12-06T06:18:03.953+0000,https://www.setlist.fm/setlist/babymetal/2024/house-of-blues-anaheim-ca-6b5676ba.html,27e2997f-f7a1-4353-bcc4-57b9274fa9a4,BABYMETAL,BABYMETAL,,https://www.setlist.fm/setlists/babymetal-5bd19f80.html,43d63bdb,House of Blues,5323810,Anaheim,California,CA,33.8352932,-117.9145036,US,United States,https://www.setlist.fm/venue/house-of-blues-anaheim-ca-usa-43d63bdb.html,BABYMETAL WORLD TOUR 2024,"[{'song': [{'name': 'BABYMETAL DEATH'}, {'name': 'Distortion'}, {'name': 'PA PA YA!!'}, {'name': 'DA DA DANCE'}, {'name': 'METALI!!', 'info': 'preceded by KAMI Band solos'}, {'name': 'Monochrome'}, {'name': 'Time Wave'}, {'name': 'Megitsune'}, {'name': 'RATATATA', 'cover': {'mbid': '23e4053b-14d6-49d5-8bcd-85d37df70cc2', 'name': 'BABYMETAL & Electric Callboy', 'sortName': 'BABYMETAL & Electric Callboy', 'disambiguation': '', 'url': 'https://www.setlist.fm/setlists/babymetal-and-electric-callboy-23e5e087.html'}}, {'name': 'Gimme Chocolate!!'}]}, {'encore': 1, 'song': [{'name': 'Headbangeeeeerrrrr!!!!!'}, {'name': 'Road of Resistance'}]}]",,"['BABYMETAL DEATH', 'Distortion', 'PA PA YA!!', 'DA DA DANCE', 'METALI!!', 'Monochrome', 'Time Wave', 'Megitsune', 'RATATATA', 'Gimme Chocolate!!']",0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,False
5b560b20,g4b5e87b6,04-12-2024,2024-12-05T07:04:29.296+0000,https://www.setlist.fm/setlist/babymetal/2024/house-of-blues-anaheim-ca-5b560b20.html,27e2997f-f7a1-4353-bcc4-57b9274fa9a4,BABYMETAL,BABYMETAL,,https://www.setlist.fm/setlists/babymetal-5bd19f80.html,43d63bdb,House of Blues,5323810,Anaheim,California,CA,33.8352932,-117.9145036,US,United States,https://www.setlist.fm/venue/house-of-blues-anaheim-ca-usa-43d63bdb.html,BABYMETAL WORLD TOUR 2024,"[{'song': [{'name': 'BABYMETAL DEATH'}, {'name': 'Distortion'}, {'name': 'PA PA YA!!'}, {'name': 'BxMxC'}, {'name': 'METALI!!', 'info': 'preceded by KAMI Band solos'}, {'name': 'Monochrome'}, {'name': 'Light and Darkness'}, {'name': 'Megitsune'}, {'name': 'RATATATA', 'cover': {'mbid': '23e4053b-14d6-49d5-8bcd-85d37df70cc2', 'name': 'BABYMETAL & Electric Callboy', 'sortName': 'BABYMETAL & Electric Callboy', 'disambiguation': '', 'url': 'https://www.setlist.fm/setlists/babymetal-and-electric-callboy-23e5e087.html'}}, {'name': 'Gimme Chocolate!!'}]}, {'encore': 1, 'song': [{'name': 'Headbangeeeeerrrrr!!!!!'}, {'name': 'Road of Resistance'}]}]",,"['BABYMETAL DEATH', 'Distortion', 'PA PA YA!!', 'BxMxC', 'METALI!!', 'Monochrome', 'Light and Darkness', 'Megitsune', 'RATATATA', 'Gimme Chocolate!!']",0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
7b5616e8,g2b5e9cca,03-12-2024,2024-12-04T06:56:35.629+0000,https://www.setlist.fm/setlist/babymetal/2024/house-of-blues-anaheim-ca-7b5616e8.html,27e2997f-f7a1-4353-bcc4-57b9274fa9a4,BABYMETAL,BABYMETAL,,https://www.setlist.fm/setlists/babymetal-5bd19f80.html,43d63bdb,House of Blues,5323810,Anaheim,California,CA,33.8352932,-117.9145036,US,United States,https://www.setlist.fm/venue/house-of-blues-anaheim-ca-usa-43d63bdb.html,BABYMETAL WORLD TOUR 2024,"[{'song': [{'name': 'BABYMETAL DEATH'}, {'name': 'Distortion'}, {'name': 'PA PA YA!!'}, {'name': 'MAYA'}, {'name': 'METALI!!', 'info': 'preceded by KAMI Band solos'}, {'name': 'KARATE'}, {'name': 'Time Wave'}, {'name': 'Megitsune'}, {'name': 'RATATATA', 'cover': {'mbid': '23e4053b-14d6-49d5-8bcd-85d37df70cc2', 'name': 'BABYMETAL & Electric Callboy', 'sortName': 'BABYMETAL & Electric Callboy', 'disambiguation': '', 'url': 'https://www.setlist.fm/setlists/babymetal-and-electric-callboy-23e5e087.html'}}, {'name': 'Gimme Chocolate!!'}]}, {'encore': 1, 'song': [{'name': 'Headbangeeeeerrrrr!!!!!'}, {'name': 'Road of Resistance'}]}]",,"['BABYMETAL DEATH', 'Distortion', 'PA PA YA!!', 'MAYA', 'METALI!!', 'KARATE', 'Time Wave', 'Megitsune', 'RATATATA', 'Gimme Chocolate!!']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,False
7b5616f0,g73517ecd,30-11-2024,2024-12-01T05:19:03.799+0000,https://www.setlist.fm/setlist/babymetal/2024/revel-entertainment-center-albuquerque-nm-7b5616f0.html,27e2997f-f7a1-4353-bcc4-57b9274fa9a4,BABYMETAL,BABYMETAL,,https://www.setlist.fm/setlists/babymetal-5bd19f80.html,6bd0566e,Revel Entertainment Center,5454711,Albuquerque,New Mexico,NM,35.084,-106.651,US,United States,https://www.setlist.fm/venue/revel-entertainment-center-albuquerque-nm-usa-6bd0566e.html,BABYMETAL WORLD TOUR 2024,"[{'song': [{'name': 'BABYMETAL DEATH'}, {'name': 'Distortion'}, {'name': 'PA PA YA!!'}, {'name': 'DA DA DANCE'}, {'name': 'METALI!!', 'info': 'preceded by KAMI Band solos'}, {'name': 'Monochrome'}, {'name': 'Time Wave'}, {'name': 'Megitsune'}, {'name': 'RATATATA', 'cover': {'mbid': '23e4053b-14d6-49d5-8bcd-85d37df70cc2', 'name': 'BABYMETAL & Electric Callboy', 'sortName': 'BABYMETAL & Electric Callboy', 'disambiguation': '', 'url': 'https://www.setlist.fm/setlists/babymetal-and-electric-callboy-23e5e087.html'}}, {'name': 'Gimme Chocolate!!'}]}, {'encore': 1, 'song': [{'name': 'Headbangeeeeerrrrr!!!!!'}, {'name': 'Road of Resistance'}]}]",,"['BABYMETAL DEATH', 'Distortion', 'PA PA YA!!', 'DA DA DANCE', 'METALI!!', 'Monochrome', 'Time Wave', 'Megitsune', 'RATATATA', 'Gimme Chocolate!!']",0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,False
6b5616fe,g23512467,29-11-2024,2024-11-30T04:15:01.557+0000,https://www.setlist.fm/setlist/babymetal/2024/the-criterion-oklahoma-city-ok-6b5616fe.html,27e2997f-f7a1-4353-bcc4-57b9274fa9a4,BABYMETAL,BABYMETAL,,https://www.setlist.fm/setlists/babymetal-5bd19f80.html,3bd5d00c,The Criterion,4544349,Oklahoma City,Oklahoma,OK,35.4675602,-97.5164276,US,United States,https://www.setlist.fm/venue/the-criterion-oklahoma-city-ok-usa-3bd5d00c.html,BABYMETAL WORLD TOUR 2024,"[{'song': [{'name': 'BABYMETAL DEATH'}, {'name': 'Distortion'}, {'name': 'PA PA YA!!'}, {'name': 'BxMxC'}, {'name': 'METALI!!', 'info': 'preceded by KAMI Band solos'}, {'name': 'Monochrome'}, {'name': 'Time Wave'}, {'name': 'Megitsune'}, {'name': 'RATATATA', 'cover': {'mbid': '23e4053b-14d6-49d5-8bcd-85d37df70cc2', 'name': 'BABYMETAL & Electric Callboy', 'sortName': 'BABYMETAL & Electric Callboy', 'disambiguation': '', 'url': 'https://www.setlist.fm/setlists/babymetal-and-electric-callboy-23e5e087.html'}}, {'name': 'Gimme Chocolate!!'}]}, {'encore': 1, 'song': [{'name': 'Headbangeeeeerrrrr!!!!!'}, {'name': 'Road of Resistance'}]}]",,"['BABYMETAL DEATH', 'Distortion', 'PA PA YA!!', 'BxMxC', 'METALI!!', 'Monochrome', 'Time Wave', 'Megitsune', 'RATATATA', 'Gimme Chocolate!!']",0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,False
6b561602,g6351fe3f,27-11-2024,2024-11-28T04:19:21.756+0000,https://www.setlist.fm/setlist/babymetal/2024/vibrant-music-hall-waukee-ia-6b561602.html,27e2997f-f7a1-4353-bcc4-57b9274fa9a4,BABYMETAL,BABYMETAL,,https://www.setlist.fm/setlists/babymetal-5bd19f80.html,23d12c17,Vibrant Music Hall,4880982,Waukee,Iowa,IA,41.6130441,-93.8855044,US,United States,https://www.setlist.fm/venue/vibrant-music-hall-waukee-ia-usa-23d12c17.html,BABYMETAL WORLD TOUR 2024,"[{'song': [{'name': 'BABYMETAL DEATH'}, {'name': 'Distortion'}, {'name': 'PA PA YA!!'}, {'name': 'MAYA'}, {'name': 'METALI!!', 'info': 'preceded by KAMI Band solos'}, {'name': 'Monochrome'}, {'name': 'Time Wave'}, {'name': 'Megitsune'}, {'name': 'RATATATA', 'cover': {'mbid': '23e4053b-14d6-49d5-8bcd-85d37df70cc2', 'name': 'BABYMETAL & Electric Callboy', 'sortName': 'BABYMETAL & Electric Callboy', 'disambiguation': '', 'url': 'https://www.setlist.fm/setlists/babymetal-and-electric-callboy-23e5e087.html'}}, {'name': 'Gimme Chocolate!!'}]}, {'encore': 1, 'song': [{'name': 'Headbangeeeeerrrrr!!!!!'}, {'name': 'Road of Resistance'}]}]",,"['BABYMETAL DEATH', 'Distortion', 'PA PA YA!!', 'MAYA', 'METALI!!', 'Monochrome', 'Time Wave', 'Megitsune', 'RATATATA', 'Gimme Chocolate!!']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,False
